Объект;Планируемый адрес;Физический адрес;Юридический адрес;Контакты;Дата пуска;Дата закрытия;Ответственные;Статус;Инвентаризация;Последняя инвентаризация
RBS ZYT417;11772, Житомирська область, Н.-Волинський район, с. Броники;RBS ZYT417 11772, Житомирська обл., Новоград-Волинський р-н, с.Броники;;;31.03.2005;;Блоха С.С.;Эксплуатация;False;30.09.2014
RBS ZYT418;12022, Житомирська область, Червоноармiйський район, с. Андрiївка, вул. Ленiна, 17;RBS ZYT418 12022, Житомирська область, Червоноармiйський район, с. Андрiївка, вул. Ленiна, 17;;;31.03.2005;;Блоха С.С.;Эксплуатация;False;15.08.2018
RBS ZYT419;12444, Житомирський р-н, с. Сiнгури;RBS ZYT419 12444, Житомирський р-н, с. Сiнгури;;;31.05.2005;;Блоха С.С.;Эксплуатация;False;31.03.2014
RBS ZYT420;11246, Житомирська обл., Ємiлчинський р-н, с. Рихальське;RBS ZYT420 11246, Житомирська обл., Ємiлчинський р-н, с. Рихальське 11246, Жит.обл., Ємiлчинський р-н, с. Рихальське, вул. Ленiна, 4.;;;31.12.2005;;Блоха С.С.;Эксплуатация;False;12.05.2014
RBS ZYT421;11560, Житомирська обл., Коростенський р-н, с. Горщик;RBS ZYT421 11560, Житомирська обл., Коростенський р-н, с. Горщик;;;30.11.2005;;Блоха С.С.;Эксплуатация;False;16.02.2017
RBS ZYT422;11790, Житомирська обл. Новоград - Волинський, с. Колодянка;RBS ZYT422 11790, Житомирська обл. Новоград - Волинський, с. Колодянка;;;28.02.2006;;Блоха С.С.;Эксплуатация;False;12.03.2014
RBS ZYT423;11762, Житомирська обл., Новоград-Волинський р-н, с. Ярунь;RBS ZYT423 11762, Житомирська обл., Новоград-Волинський р-н, с. Ярунь;;;30.06.2006;;Блоха С.С.;Эксплуатация;False;07.03.2013
RBS ZYT424;11725, Житомирська обл, Нов-Волинський р-н, с. Вишкiвка;RBS ZYT424 Житомирська обл, Нов-Волинський р-н, с. Вишкiвка (Чижiвська сiльська рада).;;;30.06.2006;;Блоха С.С.;Эксплуатация;False;10.06.2016
RBS ZYT425;11255, Житомирська обл., Ємiльчинський р-н, с. Барашi;RBS ZYT425 11255, Житомирська обл., Ємiльчинський р-н, с. Барашi;;;31.05.2006;;Блоха С.С.;Эксплуатация;False;27.12.2016
RBS ZYT426;12125, Володарськ-Волинський р-н, с. Ставки;RBS ZYT426 12125, Володарськ-Волинський р-н, с. Ставки  12125, Володарськ-Волинський р-н, с. Ставки  12125, Володарськ-Волинський р-н, с. Ставки  12125 Житомирська обл., Володарськ-Волинський р-н, с.Зубринка , власна вежа на територiї сiльр;12125, Володарськ-Волинський р-н, с. Ставки  12125, Володарськ-Волинський р-н, с. Ставки  12125, Володарськ-Волинський р-н, с. Ставки  12125 Житомирська обл., Володарськ-Волинський р-н, с.Зубринка , власна вежа на територiї сiльради;;31.05.2006;;Блоха С.С.;Эксплуатация;False;25.08.2015
RBS ZYT427;1711, Житомирська обл, Нов.-Волинський р-н, с.Броницька Гута, вул. Радянська, 6;RBS ZYT427 1711, Житомирська обл, Нов.-Волинський р-н, с.Броницька Гута, вул. Радянська, 6;;;31.03.2006;;Блоха С.С.;Эксплуатация;False;30.09.2017
RBS ZYT428;11043, Житомирська обл.,Олевський р-н, с. Зубковичi;RBS ZYT428 11043, Житомирська обл.,Олевський р-н, с. Зубковичi 11043, Житомирська обл.,Олевський р-н, с. Зубковичi 11043, Житомирська обл.,Олевський р-н, с. Зубковичi;11043, Житомирська обл.,Олевський р-н, с. Зубковичi 11043, Житомирська обл.,Олевський р-н, с. Зубковичi 11043, Житомирська обл.,Олевський р-н, с. Зубковичi;;28.02.2006;;Блоха С.С.;Эксплуатация;False;04.11.2013
RBS ZYT429;11042, Житомирська обл., Олевський р-н, с. Жубровичi, вул. Шевченка, 14;RBS ZYT429 11042, Житомирська обл., Олевський р-н, с. Жубровичi, вул. Шевченка, 14;;;28.02.2006;;Блоха С.С.;Эксплуатация;False;17.08.2015
RBS ZYT430;11025, Олевський р-н,  с. Радовель;RBS ZYT430 11025, Олевський р-н,  с. Радовель;11001, Житомирська обл., м.Олевськ, вул.Свято-Миколаївська, 4;;30.09.2006;;Блоха С.С.;Эксплуатация;False;29.04.2015
RBS ZYT431;11333, Житомирська обл., Лугинський р-н, с. Путиловичi;RBS ZYT431 11333, Житомирська обл., Лугинський р-н, с. Путиловичi;;;31.05.2006;;Блоха С.С.;Эксплуатация;False;28.03.2017
RBS ZYT432;13144, Житомирська область, Любарськи район, с. Провалiвка;RBS ZYT432 13144, Житомирська область, Любарськи район, с. Провалiвка;;;30.09.2006;;Блоха С.С.;Эксплуатация;False;28.02.2014
RBS ZYT433;11014, Житомирська обл, Олевський р-н, с. Юрове;RBS ZYT433 11014, Житомирська обл, Олевський р-н, с. Юрове;;;30.09.2006;;Блоха С.С.;Эксплуатация;False;17.05.2016
RBS ZYT434;11010, Олевський р-н, с. Копище;RBS ZYT434 11010, Житомирська обл., Олевський р-н, за межами с.Копище;11001, Житомирська обл., м.Олевськ, вул.Свято-Миколаївська, 4;;30.09.2006;;Блоха С.С.;Эксплуатация;False;27.04.2016
RBS ZYT435;11014, Житомирська обл, Олевський р-н, с. Лопатичi;RBS ZYT435 11034, Житомирська область, Олевський р-н, с. Лопатичi;;;31.10.2006;;Блоха С.С.;Эксплуатация;False;22.08.2013
RBS ZYT436;11040, Олевський р-н, с. Кишин;RBS ZYT436 11040, Олевський р-н, с. Кишин Житомирська обл., Олевський р-н, с.Кишин, власна вежа на територiї сiльради;;;26.03.2007;;Блоха С.С.;Эксплуатация;False;16.06.2013
RBS ZYT437;11016, Житомирська обл., Олевський р-н, с. Сущани;RBS ZYT437 11016, Житомирська обл., Олевський р-н, с.Сущани;;;28.03.2007;;Блоха С.С.;Эксплуатация;False;17.05.2016
RBS ZYT438;11037, Олевський р-н, с. Жовтневе;RBS ZYT438 11037, Олевський р-н, с. Жовтневе;власна вежа на тер-ї сiльради;;29.09.2007;;Харченко В.Б.;Эксплуатация;False;26.12.2017
RBS ZYT439;11210, Ємiльчинський р-н, с. Миколаївка;RBS ZYT439 11210, Ємiльчинський р-н, с. Миколаївка;власна вежа на тер-ї сiльради;;29.09.2007;;Харченко В.Б.;Эксплуатация;False;28.06.2013
RBS ZYT440;;RBS ZYT440 Житомирська обл., Бердичiвський р-н, с.Скраглiвка, власна вежа на територiї сiльради;;;26.12.2007;;Мікрюков О.В.;Эксплуатация;False;18.04.2014
RBS ZYT441;;RBS ZYT441;;;28.11.2008;;Харченко В.Б.;Эксплуатация;False;29.09.2014
RBS ZYT442;ЖИТОМИР (ЖИТОМИР)1810100002;RBS ZYT442 ЖИТОМИР (ЖИТОМИР)1810100002;;;11.02.2008;;Осадчук О.В.;Эксплуатация;False;26.03.2014
RBS ZYT443;13263,Житомирська обл.,Чуднiвський р-н, с. Стеткiвцi,вул.Ленiна,42;RBS ZYT443 13263,Житомирська обл.,Чуднiвський р-н,с.Стеткiвцi,вул.Ленiна,42;;;27.06.2007;;Блоха С.С.;Эксплуатация;False;29.09.2016
RBS ZYT444;13002, смт Ємiльчино;RBS ZYT444 13002, смт Ємiльчино;;;12.09.2007;;Блоха С.С.;Эксплуатация;False;16.05.2018
RBS ZYT445;;RBS ZYT445 Житомирська обл., Олевський р-н, с.Замисловичi, власна вежа на територiї сiльради;;;10.12.2008;;Харченко В.Б.;Эксплуатация;False;29.12.2017
RBS ZYT447;НОВОГРАД-ВОЛИНСЬКИЙ (НОВОГРАД-ВОЛИНСЬКИЙ)1811000000;RBS ZYT447 НОВОГРАД-ВОЛИНСЬКИЙ (НОВОГРАД-ВОЛИНСЬКИЙ)1811000000;;;23.04.2008;;Осадчук О.В.;Эксплуатация;False;12.03.2014
RBS ZYT448;НОВОГРАД-ВОЛИНСЬКИЙ (НОВОГРАД-ВОЛИНСЬКИЙ)1811000002;RBS ZYT448 НОВОГРАД-ВОЛИНСЬКИЙ (НОВОГРАД-ВОЛИНСЬКИЙ)1811000002;;;10.04.2008;;Осадчук О.В.;Эксплуатация;False;25.08.2017
RBS ZYT449;КОРОСТЕНЬ (КОРОСТЕНЬ)1810700000;RBS ZYT449 Житомирська обл., Новоград-Волинський р-н, с.Повчине, власна вежа на територiї сiльради;;;12.09.2008;;Осадчук О.В.;Эксплуатация;False;30.08.2017
RBS ZYT450;;RBS ZYT450  Житомирська обл., Лугинський р-н, с.Жеревцi, власна вежа на територiї сiльради;;;04.03.2009;;Харченко В.Б.;Эксплуатация;False;31.10.2016
RBS ZYT455;12200, Радомишльський р-н, с. Лутiвка;RBS ZYT455 12200, Радомишльський р-н, с. Лутiвка;;;21.09.2007;;Харченко В.Б.;Эксплуатация;False;12.02.2016
RBS ZYT456;;RBS ZYT456  Житомирська обл., Овруцький р-н, с.Селезiвка, власна вежа на територiї сiльради;;;20.03.2009;;Харченко В.Б.;Эксплуатация;False;18.06.2015
RBS ZYT457;ДРУЖБА (ОЛЕВСЬКИЙ РАЙОН/СМТ ОЛЕВСЬК)1824455400;RBS ZYT457 ДРУЖБА (ОЛЕВСЬКИЙ РАЙОН/СМТ ОЛЕВСЬК)1824455400 ДРУЖБА (ОЛЕВСЬКИЙ РАЙОН/СМТ ОЛЕВСЬК)1824455400 Житомирська обл., Олевський р-н, смт.Дружба, башта УМЗ;;;16.02.2009;;Харченко В.Б.;Эксплуатация;False;29.12.2017
RBS ZYT458;БЕРДИЧiВ (БЕРДИЧiВ)1810400001;RBS ZYT458 БЕРДИЧiВ (БЕРДИЧiВ)1810400001 Житомирська обл., Бердичiвський р-н, с.Никонiвка, власна вежа на територiї сiльради;;;05.03.2009;;Мікрюков О.В.;Эксплуатация;False;02.06.2015
RBS ZYT459;13353, Житомирська обл.,Бердичiвський район, с. Закутинцi;RBS ZYT459 Житомирська обл., Бердичiвський р-н, за межами с .Закутинцi;;;20.06.2007;;Блоха С.С.;Эксплуатация;False;30.12.2016
RBS ZYT460;13425, Андрушiвський р-н, с. Зарубинцi;RBS ZYT460 за межами с.Зарубинцi Андрушiвського району Житомирської областi;;;26.07.2007;;Блоха С.С.;Эксплуатация;False;19.04.2016
RBS ZYT461;13521, Житомирська обл., Попiльнянськiй р-н, с. Липки;RBS ZYT461 13521, Житомирська обл., Попiльнянськiй р-н, с. Липки;;;11.06.2007;;Блоха С.С.;Эксплуатация;False;31.03.2014
RBS ZYT462;;Житомирська обл, м.Коростиш?в, 102 км шосе Київ-Чоп, власна вежа;;;;;;Закрыт;False;
RBS ZYT463;;RBS ZYT463 Житомирська обл., м.Коростишiв, вул.Горького, 47, труба;;;12.02.2008;;Блоха С.С.;Эксплуатация;False;18.09.2014
RBS ZYT464;12545, Житомирська область, Коростишiвський район. с. Студениця;RBS ZYT464 12545, Житомирська область, Коростишiвський район. с. Студениця;;;27.06.2007;;Блоха С.С.;Эксплуатация;False;30.09.2016
RBS ZYT465;12600, смт Брусилiв, вул Лермонтова, 66;RBS ZYT465 Житомирська область, смт.Брусилiв, вул.Лермонтова, 66, башта;;;29.08.2007;;Блоха С.С.;Эксплуатация;False;05.11.2017
RBS ZYT466;13222, Житомирська обл., Чуднывський р-н., с. Пятка;RBS ZYT466 13222, Житомирська обл., Чуднывський р-н., с. Пятка.;;;21.06.2007;;Блоха С.С.;Эксплуатация;False;29.06.2018
RBS ZYT467;БЕРДИЧiВ (БЕРДИЧiВ)1810400000;RBS ZYT467 Житомирська обл., Бердичiвський р-н, с.Маркушi, власна вежа на територiї сiльради;;;21.02.2008;;Мікрюков О.В.;Эксплуатация;False;31.08.2017
RBS ZYT468;КОРОСТЕНЬ (КОРОСТЕНЬ)1810700001;RBS ZYT468, Бердичiвський р-н, с.Великi Низгiрцi, вул. Лiцейна,1;;;23.04.2008;;Мікрюков О.В.;Эксплуатация;False;23.09.2014
RBS ZYT469;СТРОКiВ (ПОПiЛЬНЯНСЬКИЙ РАЙОН/СМТ ПОПiЛЬНЯ)1824786701;RBS ZYT469 СТРОКiВ (ПОПiЛЬНЯНСЬКИЙ РАЙОН/СМТ ПОПiЛЬНЯ)1824786701 Житомирська обл., Попiльнянський р-н, с.Строкiв, башта УМЗ;;;22.12.2008;;Мікрюков О.В.;Эксплуатация;False;22.12.2017
RBS ZYT470;смт. Попiльня, господ. двiр реформованого КП iм. Мiчурiна;RBS ZYT470 смт. Попiльня, господ. двiр реформованого КП iм. Мiчурiна;;;22.08.2007;;Блоха С.С.;Эксплуатация;False;31.03.2017
RBS ZYT471;13646, Ружинський р-н, с. Зарудинцi;RBS ZYT471 13646, Ружинський р-н, с. Зарудинцi;;;21.03.2007;;Блоха С.С.;Эксплуатация;False;18.03.2016
RBS ZYT472;ЙОСИПiВКА (МАЛИНСЬКИЙ РАЙОН/М.МАЛИН)1823484001;RBS ZYT472 ЙОСИПiВКА (МАЛИНСЬКИЙ РАЙОН/М.МАЛИН)1823484001 ЙОСИПiВКА (МАЛИНСЬКИЙ РАЙОН/М.МАЛИН)1823484001 Житомирська обл., Малинський р-н, с.Йосипiвка, вежа УМЗ;;;15.12.2008;;Блоха С.С.;Эксплуатация;False;07.03.2017
