Объект;Планируемый адрес;Физический адрес;Юридический адрес;Контакты;Дата пуска;Дата закрытия;Ответственные;Статус;Инвентаризация;Последняя инвентаризация
POP KIE03000391;г.Киев, ул. Стеценко, 1а;POP KIE03000391 г.Киев, ул. Стеценко, 1а;POP KIE03000391;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;31.12.2015
POP KIE03000392;г.Киев, ул.Фрунзе, 39;POP KIE03000392 г.Киев, ул.Фрунзе, 39;POP KIE03000392;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;30.03.2013
POP KIE03000393;г.Киев, ул. Десятинная, 4/6;POP KIE03000393 г.Киев, ул. Десятинная, 4/6;ТД400, г. Киев, ул. Десятинная, 4/6;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;31.12.2015
POP KIE03000396;г. Киев, ул. Вискозная, 17;POP KIE03000396 г. Киев, ул. Вискозная, 17;POP KIE03000396;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;17.03.2016
POP KIE03000397;г.Киев, Беломорская, 1;POP KIE03000397 г.Киев, Беломорская, 1;Комфи Трейд, г.Киев, Беломорская, 1;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;31.12.2015
POP KIE03000398;г.Киев ул.Ольжича, 14;POP KIE03000398 г.Киев ул.Ольжича, 14;ЭКО ООО, г.Киев ул.Ольжича, 14;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;06.03.2013
POP KIE03000409;г.Киев, ул. Гринченко, 18;POP KIE03000409 г.Киев, ул. Гринченко, 18;СО315, г. Киев, ул. Гринченко, 18;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;31.03.2015
POP KIE03000410;г.Киев, пер. Балтийский, 20;POP KIE03000410 г.Киев, пер. Балтийский, 20;СО322, г. Киев, пер. Балтийский, 20;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;31.03.2015
POP KIE03001823;с. Чайки с. (Київська область, Києво-Святошинський район), Чайки Валентини вул., буд. 16;;;;;;;Строящийся;False;
POP KIE03001908;Киев г. Харкiвське шосе, буд. 51;POP KIE03001908 Киев г. Харкiвське шосе, буд. 51;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;23.04.2015
POP KIE03002920;м. Київ, Майорова Михайла вул., буд. 2;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;15.01.2018
POP KIE0301000008;Київ, вул. Каземира Малевича, буд. 86Д, ФОП ПОЛІНОВСЬКА;;;;;;;Строящийся;False;
POP KIE0301000011;м.Київ, Червонозоряний просп., буд. 30,;;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;30.06.2015
POP KIE0301000015;Київ пр-т Леся Курбаса, 6Г;;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;08.03.2016
POP KIE0301000016;Бердичівська вул., буд. 1;;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2017
POP KIE0301000018;Київ м. (м.Київ), Велика Васильківська вул., буд. 79;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000019;м. Київ, вул. Оранжерейна, 3, офіс ТОВ ТОП АВТО СЕРВІС;;;;20.08.2018;;;Эксплуатация;False;20.08.2018
POP KIE0301000020;Червоноткацька вул., буд. 61;;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;08.03.2016
POP KIE0301000024;Саперно-Слоб?дський проїзд, буд. 3;;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000025;Здолбунівська вул., буд. 7Д, ( корп. Ж);;;;05.04.2016;;Драмарецький С.А.;Эксплуатация;False;03.02.2017
POP KIE0301000027;м. Київ, Українки Лесі бульв., буд. 30В;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000029;Велика Васильк?вська вул., буд. 5;;;;;;;Строящийся;False;
POP KIE0301000030;Червоноармійський пров., буд. 14, (к. корпус 7 );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000034;м.Київ, Несторівський пров., буд. 6, (к. 3 пов. );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000037;Київ м, Пирогова вул., буд. 4/26;;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;30.06.2015
POP KIE0301000038;м.Київ, Лепсе Івана бульв., буд. 8;;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000042;Раскової Марини вул., буд. 23, (к. 9-й пов. );;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000049;Київ м. (м.Київ), Харківське шосе, буд. 2А, ( );;;;10.08.2017;;Кучерявчук В.М.;Эксплуатация;False;10.08.2017
POP KIE0301000051;м. Київ, Московський просп., буд. 9;;;;03.03.2015;;Дугнист Ю.І.;Эксплуатация;False;03.03.2015
POP KIE0301000052;Київ м. (м.Київ), Автозаводська вул., буд. 99/4А;;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;30.06.2015
POP KIE0301000053;Шимановського В. вул., буд. 2/1;;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000055;м. Київ, Автопаркова вул., буд. 5;;;;27.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000058;м.Київ, Волоська вул., буд. 18/17;;;;20.04.2015;;Драмарецький С.А.;Эксплуатация;False;30.06.2015
POP KIE0301000059;м.  Київ м., Сосніних Сім ї вул. буд. 3, офіс ТОВ ІНТЕРЕКСПРЕСДРУК;;;;20.08.2018;;;Эксплуатация;False;20.08.2018
POP KIE0301000063;Лабораторний пров., буд. 1;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000068;Київ м. (м.Київ), Кошового Олега вул., буд. 2А, ( );;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE0301000073;Курен?вська вул., буд. 18;;;;;;;Строящийся;False;
POP KIE0301000075;Оболонський просп., буд. 20А;;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE0301000076;Академіка Туполєва вул., буд. 19А,;;;;05.04.2016;;Драмарецький С.А.;Эксплуатация;False;03.02.2017
POP KIE0301000079;Фрунзе вул., буд. 160, корп.А, оф.17 (3-й пов.);;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000080;Фрунзе вул., буд. 47;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;28.10.2015
POP KIE0301000084;м.Київ, Лесі Українки бульв., 34, офіс ТОВ КАЛЬБЕРСОН ЛОДЖІСТІКС ЮКРЕЙН;;;;;;;Строящийся;False;
POP KIE0301000087;Шолуденка вул., буд. 3;;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;30.06.2015
POP KIE0301000089;Київ м. (м.Київ), Хохлових С?м ` ї вул., буд. 11/2;;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;23.04.2015
POP KIE0301000091;Київ м. (м.Київ), Васильківська вул., буд. 14;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000100;м. Київ, вул. Хвойки 15/15, к.407;;;;18.10.2017;;Коваленко В.В.;Эксплуатация;False;18.10.2017
POP KIE0301000101;(м.Київ), Гришка вул., буд. 3А;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000105;Київ м. (м.Київ), Московський просп., буд. 26В, ( );;;;20.07.2016;;Драмарецький С.А.;Эксплуатация;False;31.01.2017
POP KIE0301000110;м. Київ, Гришка Михайла вул., 3А, БІЛЛА-УКРАЇНА;;;;26.01.2016;;Драмарецький С.А.;Эксплуатация;False;26.01.2016
POP KIE0301000111;Київ м. (м.Київ), Оноре де Бальзака вул., буд. 2А, ( );;;;05.04.2016;;Драмарецький С.А.;Эксплуатация;False;03.02.2017
POP KIE0301000115;м. Київ, Васильківська вул., буд. 34;;;;05.04.2016;;Драмарецький С.А.;Эксплуатация;False;31.03.2017
POP KIE0301000116;Глибочицька вул., буд. 71;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000117;м. Київ, вул. Десятинна, 7, 1, офіс ПАТ ІНВЕСТИЦІЇ В УКРАЇНУ;;;;20.08.2018;;;Эксплуатация;False;20.08.2018
POP KIE0301000118;м. Київ, Григоренка Петра просп., буд. 26;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000119;м. Київ, Декабристів вул., буд. 2А;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000125;м. Київ, Червоноткацька вул., буд. 83;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000126;Київ м. (м.Київ), Прорізна вул., буд. 22;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000127;Київ м. (м.Київ), Магнітогорська вул., буд. 1, ( );;;;;;;Строящийся;False;
POP KIE0301000130;Київ м. (м.Київ), Возз ` єднання просп., буд. 15, ( );;;;20.07.2016;;Драмарецький С.А.;Эксплуатация;False;31.01.2017
POP KIE0301000131;Київ м. (м.Київ), Музейний пров., буд. 2Б;;;;;;;Строящийся;False;
POP KIE0301000138;м. Київ, Саксаганського вул., буд. 69;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000149;(м.Київ), Перемоги просп., буд. 8,;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000150;м. Київ, просп. Перемоги, 7, офіс ПАТ ПЛАТИНУМ БАНК;;;;20.08.2018;;;Эксплуатация;False;20.08.2018
POP KIE0301000152;м. Київ, Каховська вул., буд. 60;;;;;;;Строящийся;False;
POP KIE0301000162;м. Київ, Польова вул., буд. 24Д;;;;;;;Строящийся;False;
POP KIE0301000164;Половецька вул., буд. 49;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000173;м. Київ, Софіївська вул., буд. 1/2А;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000178;Київ м., Дегтярівська вул., буд. 27А, ( 1 єтаж);;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;28.10.2015
POP KIE0301000180;м. Київ, шосе Залізничне, 6, ПАТ КРЕДІ АГРІКОЛЬ БАНК;;;;;;;Строящийся;False;
POP KIE0301000182;м. Київ, вулиця Шота Руставелі, 40/10;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000183;Київ м., Фрунзе вул., буд. 69;;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;23.04.2015
POP KIE0301000186;Пономарьова вул., буд. 30;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2017
POP KIE0301000192;м.Київ, Машинобудівна вул., буд. 46,;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;28.10.2015
POP KIE0301000195;Новокостянтинівська вул., буд. 4А;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2016
POP KIE0301000196;Київ, вул. спаська, 30;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;28.10.2015
POP KIE0301000199;Перемоги пл., буд. 3;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2017
POP KIE0301000205;Бастіонна вул., буд. 1/36;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;30.12.2016
POP KIE0301000217;Київ м., Велика Окружна вул., буд. 4А;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2017
POP KIE0301000219;Київ м. (м.Київ), Академіка Заболотного вул., буд. 3, ( );;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE0301000224;Київ м. (м.Київ), Московський просп., буд. 34В;;;;;;;Строящийся;False;
POP KIE0301000236;Генерала Ватутіна просп., буд. 2Т;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;03.02.2017
POP KIE0301000237;Київ м. (м.Київ), Мазепи Івана вул., буд. 7;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000241;м. Київ, Стальського Сулеймана вул., буд. 22/10;;;;10.08.2017;;Кучерявчук В.М.;Эксплуатация;False;10.08.2017
POP KIE0301000255;Дніпровська Набережна вул., буд. 17А;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;30.12.2016
POP KIE0301000279;Шовковична вул., буд. 42-44;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;31.03.2017
POP KIE0301000280;м. Київ, Володимирська вул., буд. 101;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000282;м.Київ, Екскаваторна вул., буд. 37;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000283;Червоноармійська вул., буд. 143/2;;;;;;;Строящийся;False;
POP KIE0301000286;м. Київ, вул. Стуса Василя, 35/37, 214, офіс ТОВ УКРКАЗА;;;;;;;Строящийся;False;
POP KIE0301000318;Верхній Вал вул., буд. 4А,;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000322;м. Київ м. Хмельницького Богдана вул., буд. 19-21, (к. 14 пов ), ТОВ АСТЕРС;;;;;;;Строящийся;False;
POP KIE0301000339;Київ м. (м.Київ), Харківське шосе, буд. 201/203, к. эт.1;;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE0301000342;Кржижановського Академ?ка вул., буд. 4;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;30.06.2017
POP KIE0301000355;м. Київ, Кирилівська вул., буд. 39;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301000365;м.Київ, Дн?провська набережна, буд. 33;;;;20.04.2015;;Драмарецький С.А.;Эксплуатация;False;30.06.2015
POP KIE0301000366;Петропавлівська вул., буд. 6;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;30.03.2017
POP KIE0301000916;Київ м. (м.Київ), Теліги Олени вул., буд. 6, ( 3-й и 4-й поверхи БЦ Форум);;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE0301001760;Київ м. (м.Київ), Тростянецька вул., буд. 1, (к. ТРЦ New Way (перекресток с Вербицкого );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0301020367;Київ, вул. Дорогожицька, 10;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE03010246;м. Київ вул. Воровського  буд. 24;POP KIE03010246 м. Київ вул. Воровського  буд. 24;;;;;;Строящийся;False;
POP KIE0302000022;Київ м. (м.Київ), Жилянська вул., буд. 75, ( );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000032;Червонозоряний просп., буд. 119, ( );;;;;;;Строящийся;False;
POP KIE0302000035;Кутузова, 18/7;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000041;м. Київ, Марко Вовчок, 18Л, офіс ТОВ МАКІТА УКРАЇНА;;;;;;;Строящийся;False;
POP KIE0302000044;Київ м. (м.Київ), Біломорська вул., буд. 1, (к. Арт завод платформа, повильйон 3.2. Лаунж зона Киевстар);;;;19.09.2017;;Дугнист Ю.І.;Эксплуатация;False;19.09.2017
POP KIE0302000088;Щорса вул., буд. 31;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000093;Київ м. (м.Київ), Мечникова вул., буд. 3, (к. отделение банка );;;;20.07.2016;;Драмарецький С.А.;Эксплуатация;False;31.01.2017
POP KIE0302000094;м.Київ, Борщагівська вул., буд. 154, ( 1 пов., островок);;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;30.12.2016
POP KIE0302000098;м. Київ, вул. Радищева, 10/14 (Корпус Б);;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000136;Київ м. (м.Київ), Качалова вул., буд. 5, ( );;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE0302000148;м.Київ, вул. Рейтарська, 13;;;;20.08.2018;;;Эксплуатация;False;20.08.2018
POP KIE0302000177;м. Київ, Старокиївська вул., буд. 10Г;;;;05.04.2016;;Драмарецький С.А.;Эксплуатация;False;03.02.2017
POP KIE0302000196;м. Київ, Спаська вул., буд. 30;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000237;Київ м. (м.Київ), Різницька вул., буд. 2/32, (к. БЦ ?Сенатор? );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000250;Київ м. (м.Київ), Госпітальна вул., буд. 12Г, ( );;;;05.04.2016;;Драмарецький С.А.;Эксплуатация;False;03.02.2017
POP KIE0302000270;Київ м. (м.Київ), Столичне шосе, буд. 101, ( );;;;20.07.2016;;Драмарецький С.А.;Эксплуатация;False;31.01.2017
POP KIE0302000273;Київ м. (м.Київ), Хмельницького Богдана вул., буд. 19-21, ( );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000274;Київ, вул. Берковецька, 6;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000286;Київ м. (м.Київ), Велика Кільцева дорога, буд. 4, ( );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302000315;Курбаса Леся просп., буд. 2Б,;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;30.12.2016
POP KIE0302000316;Генерала Ватутіна просп., буд. 2Т к. 1-й пов.;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302001945;Київ м. (м.Київ), Болсуновська вул., буд. 13-15, (к. 10 поверх );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302002911;Київ м. (м.Київ), Тичини Павла просп., буд. 1В, ( );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE0302010729;м. Київ, Хмельницького Богдана вул., буд. 52;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE030227;м. Київ, Львівська пл., буд. 8;;;;29.09.2017;13.11.2017;;Закрыт;False;29.09.2017
POP KIE030247;м. Київ, вул. Пiвнiчно-Сирецька, буд 1-3 Де-Ново;POP KIE030247 м. Київ, вул. Пiвнiчно-Сирецька, буд 1-3 Де-Ново;;;16.09.2014;12.03.2015;Петренко Т.О.;Закрыт;False;31.12.2014
POP KIE0302933;пл. Спортивная, 1, БЦ  Гулливер  ( Парус-2 );POP KIE0302933 пл. Спортивная, 1, БЦ  Гулливер  ( Парус-2 );;;16.09.2014;;Єршов М.Ю.;Эксплуатация;False;16.03.2018
POP KIE03032911;пр. Павла Тычины, 1в;POP KIE03032911 пр. Павла Тычины, 1в;;;16.09.2014;;Єршов М.Ю.;Эксплуатация;False;18.12.2014
POP KIE030345;Київ м. (м.Київ), Кільцева дорога, буд. 1Б;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;30.12.2017
POP KIE030729;м. Київ, Коцюбинського вул., буд. 2;;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;29.09.2017
POP KIE030773;Київ м. (м.Київ), Маяковського Володимира вул., буд. 17, ( );;;;09.08.2018;;;Эксплуатация;False;09.08.2018
POP KIE030776;ул. Олены Телиги, 11;POP KIE030776 ул. Олены Телиги, 11;;;16.09.2014;;Єршов М.Ю.;Эксплуатация;False;31.12.2014
POP KIE030779;м. Київ, Верхній Вал вул., буд. 10;;;;10.08.2017;;Дугнист Ю.І.;Эксплуатация;False;10.08.2017
POP KIE030828;ул. Аллы Тарасовой, 5;POP KIE030828 ул. Аллы Тарасовой, 5;;;;;;Строящийся;False;
POP KIE030863;Науки просп., буд. 5;;;;;;;Строящийся;False;
POP KIE030942;Київ м. (м.Київ), Валерія Лобановського просп., буд. 119, ( );;;;;;;Строящийся;False;
POP KIE030956;м. Київ просп. Голосiївський буд. 23;POP KIE030956 м. Київ просп. Голосiївський буд. 23;;;03.03.2015;;Дугнист Ю.І.;Эксплуатация;False;03.03.2015
POP KIE031711;бульвар Ивана Лепсе, 6 (буква 3) серверная  iННОВЕКС УКРАЇНА;POP KIE031711 бульвар Ивана Лепсе, 6 (буква 3) серверная  iННОВЕКС УКРАЇНА;;;16.09.2014;;Єршов М.Ю.;Эксплуатация;False;31.12.2014
POP KIE031728;м. Київ, Майдан Незалежності пл., буд. 1;;;;;;;Строящийся;False;
POP KIE031764;Київ м. (м.Київ), Академіка Глушкова просп., буд. 1, ( 3 павільйон);;;;;;;Строящийся;False;
POP KIE031808;м. Київ вул. Лейпцизька буд. 15;POP KIE031808 м. Київ вул. Лейпцизька буд. 15;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;23.04.2015
POP KIE031811;пр. Оболонский, 22в;POP KIE031811 пр. Оболонский, 22в;;;16.09.2014;;Єршов М.Ю.;Эксплуатация;False;31.12.2014
POP KIE031825;м. Київ, Тулузи вул., буд. 3Б;;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE031907;м. Київ, Смоленська вул., буд. 31-33;;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE031913;м.Київ, Алма-Атинська вул., буд. 14А;;;;;;;Строящийся;False;
POP KIE031938;Київ м. (м.Київ), Червоноармійська вул., буд. 112, (к. отделение банка );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;30.12.2017
POP KIE032721;Київ м. (м.Київ), Сабурова Олександра вул., буд. 2А, ( );;;;05.09.2016;;Кучерявчук В.М.;Эксплуатация;False;31.01.2017
POP KIE032831;м. Київ, Кудрявська вул., буд. 26/28;;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE032933;Київ м. (м.Київ), Спортивна пл., буд. 1А, (к. ТРЦ Gulliver ), 12-й поверх бiзнес частина;POP KIE032933 Київ м. (м.Київ), Спортивна пл., буд. 1А, (к. ТРЦ Gulliver ), 12-й поверх бiзнес частина;;;03.03.2015;;Дугнист Ю.І.;Эксплуатация;False;03.03.2015
POP KIE033168;м.Київ, Велика Окружна вул., буд. 4, (к. ТЦ Ельдорадо  );;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;23.04.2015
POP KIE033534;м.Київ, Московський просп., буд. 10,;;;;20.04.2015;05.11.2015;Драмарецький С.А.;Закрыт;False;20.04.2015
POP KIE033746;Київ м. (м.Київ), Фрунзе вул., буд. 74, ( );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;30.12.2017
POP KIE033774;Фрунзе вул., буд. 61;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;28.10.2015
POP KIE0345;м.Київ, Голосiївський р-н, вул.Окружна дорога,1Б, гiпермаркет `Епiцентр К`;POP KIE0345 м.Київ, Голосiївський р-н, вул.Окружна дорога,1Б, гiпермаркет `Епiцентр К`;;;23.04.2015;;Драмарецький С.А.;Эксплуатация;False;23.04.2015
POP KIE034901;Київ м. (м.Київ), Возз ` єднання просп., буд. 2/1, (к. ТРЦ ?Дарница? );;;;29.09.2017;;Коваленко В.В.;Эксплуатация;False;30.12.2017
POP KIE034928;м.Київ, Воздвиженська вул., буд. 29А;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;08.03.2016
POP KIE035150;Київ м., Героїв Дніпра вул., буд. 34, к. Новый ТЦ;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;28.10.2015
POP KIE035151;Київ м., Сирецька вул., буд. 38;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;28.10.2015
POP KIE035508;м.Київ, Магнітогорська вул., буд. 2А;;;;28.10.2015;;Драмарецький С.А.;Эксплуатация;False;08.03.2016
POP KIE0371;м.Київ, вул.Кiльцнва дорога, 1В;POP KIE0371 м.Київ, вул.Кiльцнва дорога, 1В;;;03.03.2015;;Дугнист Ю.І.;Эксплуатация;False;18.05.2015
POP KIE037555;Нове шосе, буд. 48, ( ТЦ Нова Лінія);;;;05.04.2016;;Драмарецький С.А.;Эксплуатация;False;05.04.2016
POP KIE03874;м. Київ, пр-т Перемоги, буд. 121В;POP KIE03874 м. Київ, пр-т Перемоги, буд. 121В;;;18.09.2013;;Марченко О.В.;Эксплуатация;False;23.10.2013
POP KIE03904;м. Київ, вул. Марини Раскової, 4;POP KIE03904 м. Київ, вул. Марини Раскової, 4;;;03.09.2010;04.02.2015;Власов А.О.;Закрыт;False;24.11.2014
POP KIE03943;м.Київ,  вул, Горького. буд. 176 (ТОВ   РЕАЛ, - ГiПЕРМАРКЕТ УКРАЇНА );POP KIE03943 м.Київ,  вул, Горького. буд. 176 (ТОВ   РЕАЛ, - ГiПЕРМАРКЕТ УКРАЇНА );;;30.04.2013;;Марченко О.В.;Эксплуатация;False;23.06.2013
POP KIE03988;м. Київ,вул. Червонопрапорна, 34 (р-н Видубичi), склад, (примiщення ТОВ  Нова Пошта );POP KIE03988 м. Київ,вул. Червонопрапорна, 34 (р-н Видубичi), склад, (примiщення ТОВ  Нова Пошта );;;21.10.2011;;Чуб О.М.;Эксплуатация;False;30.04.2014
POP KIE0400000093;м.Київ,вул.Мечникова,2;POP KIE0400000093 м.Київ,вул.Мечникова,2;;;;;;Строящийся;False;
POP KIE0400000273;м.Київ  Хмельницького Богдана вул., буд. 17/21;;;;03.03.2015;;Дугнист Ю.І.;Эксплуатация;False;05.05.2015
POP KIE0400009042;Київ м. (м.Київ), Дружби Народів пл., буд. 6, ( );;;;08.05.2018;;Кучерявчук В.М.;Эксплуатация;False;08.05.2018
POP KIE040003;Київ м. (м.Київ), Визволителів просп., буд. 3, (к. отделение банка );;;;20.07.2016;;Драмарецький С.А.;Эксплуатация;False;24.01.2017
POP KIE04000405;г. Киев,просп. Отрадный, 95;POP KIE04000405 г. Киев,просп. Отрадный, 95;г.Киев, просп. Отрадный, 95;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;31.03.2015
POP KIE04000414;г.Киев, ул. Б. Хмельницкого, 52;POP KIE04000414 г.Киев, ул. Б. Хмельницкого, 52;POP KIE04000414;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;31.03.2014
POP KIE04000418;г. Киев,ул. Межигорская, 8;POP KIE04000418 г. Киев,ул. Межигорская, 8;БС 110003, г. Киев, ул. Межигорская, 8;;31.12.2011;;Кучерявчук В.М.;Эксплуатация;False;24.03.2015
POP KIE04000569;м. Київ, вул. Мечнiкова, 3;POP KIE04000569 м. Київ, вул. Мечнiкова, 3;;;;;;Строящийся;False;
POP KIE04000572;Київська обл., Києво-Святошинський р-н, с.Дмитрiвка;POP KIE04000572 Київська обл., Києво-Святошинський р-н, с.Дмитрiвка;;;07.05.2013;07.07.2015;Дугнист Ю.І.;Закрыт;False;27.06.2013
POP KIE04000574;м.Київ  пр-т Маяковського, 31, кiнотеатр Флоренцiя  RBS KIE3773;POP KIE04000574 м.Київ  пр-т Маяковського, 31, кiнотеатр Флоренцiя  RBS KIE3773;;;07.05.2013;;Драмарецький С.А.;Эксплуатация;False;11.08.2017
POP KIE04000575;м.Київ, Подiльський р-н, вул. Електрикiв, 17, труба теплоелектростанцiї  Київенерго;POP KIE04000575 м.Київ, Подiльський р-н, вул. Електрикiв, 17, труба теплоелектростанцiї  Київенерго;;;07.05.2013;;Кучерявчук В.М.;Эксплуатация;False;30.09.2017
